"taxonid","scientific_name","kingdom","phylum","class","order","family","genus","main_common_name","authority","published_year","assessment_date","category","criteria","population_trend","marine_system","freshwater_system","terrestrial_system","assessor","reviewer","aoo_km2","eoo_km2","elevation_upper","elevation_lower","depth_upper","depth_lower","errata_flag","errata_reason","amended_flag","amended_reason"
22697829,"Gavia stellata","ANIMALIA","CHORDATA","AVES","GAVIIFORMES","GAVIIDAE","Gavia","Red-throated Loon","(Pontoppidan, 1763)",2018,"2018-08-07","LC",NA,"Decreasing",TRUE,TRUE,TRUE,"BirdLife International","Westrip, J.R.S.",NA,"59900000",500,NA,NA,NA,NA,NA,NA,NA
22697834,"Gavia arctica","ANIMALIA","CHORDATA","AVES","GAVIIFORMES","GAVIIDAE","Gavia","Arctic Loon","(Linnaeus, 1758)",2018,"2018-08-07","LC",NA,"Decreasing",TRUE,TRUE,TRUE,"BirdLife International","Martin, R.",NA,"43400000",500,NA,NA,NA,NA,NA,NA,NA
22696545,"Tachybaptus ruficollis","ANIMALIA","CHORDATA","AVES","PODICIPEDIFORMES","PODICIPEDIDAE","Tachybaptus","Little Grebe","(Pallas, 1764)",2019,"2016-10-01","LC",NA,"Decreasing",TRUE,TRUE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"170000000",1000,NA,NA,NA,NA,NA,TRUE,"Map for UAE Range updated, updated EOO."
22696602,"Podiceps cristatus","ANIMALIA","CHORDATA","AVES","PODICIPEDIFORMES","PODICIPEDIDAE","Podiceps","Great Crested Grebe","(Linnaeus, 1758)",2019,"2019-08-11","LC",NA,"Unknown",TRUE,TRUE,TRUE,"BirdLife International","Smith, D.",NA,"183000000",3000,0,NA,NA,NA,NA,NA,NA
22696610,"Podiceps nigricollis","ANIMALIA","CHORDATA","AVES","PODICIPEDIFORMES","PODICIPEDIDAE","Podiceps","Black-necked Grebe","Brehm, 1831",2018,"2018-08-07","LC",NA,"Unknown",TRUE,TRUE,TRUE,"BirdLife International","Hermes, C.",NA,"146000000",2500,NA,NA,NA,NA,NA,NA,NA
22697866,"Fulmarus glacialis","ANIMALIA","CHORDATA","AVES","PROCELLARIIFORMES","PROCELLARIIDAE","Fulmarus","Northern Fulmar","(Linnaeus, 1761)",2018,"2018-08-07","LC",NA,"Increasing",TRUE,FALSE,TRUE,"BirdLife International","Westrip, J.R.S.",NA,"90200000",300,NA,NA,NA,NA,NA,NA,NA
22698226,"Puffinus puffinus","ANIMALIA","CHORDATA","AVES","PROCELLARIIFORMES","PROCELLARIIDAE","Puffinus","Manx Shearwater","(Brünnich, 1764)",2018,"2018-08-17","LC",NA,"Unknown",TRUE,FALSE,TRUE,"BirdLife International","Wheatley, H.",NA,"120000000",1000,NA,NA,NA,NA,NA,NA,NA
22698477,"Hydrobates pelagicus","ANIMALIA","CHORDATA","AVES","PROCELLARIIFORMES","HYDROBATIDAE","Hydrobates","European Storm-petrel","(Linnaeus, 1758)",2018,"2018-08-07","LC",NA,"Unknown",TRUE,FALSE,TRUE,"BirdLife International","Westrip, J.R.S.",NA,"84900000",NA,NA,NA,NA,NA,NA,NA,NA
22696657,"Morus bassanus","ANIMALIA","CHORDATA","AVES","SULIFORMES","SULIDAE","Morus","Northern Gannet","(Linnaeus, 1758)",2018,"2018-08-10","LC",NA,"Increasing",TRUE,FALSE,TRUE,"BirdLife International","Hermes, C.",NA,"41700000",200,NA,NA,NA,NA,NA,NA,NA
22696792,"Phalacrocorax carbo","ANIMALIA","CHORDATA","AVES","SULIFORMES","PHALACROCORACIDAE","Phalacrocorax","Great Cormorant","(Linnaeus, 1758)",2019,"2018-08-09","LC",NA,"Increasing",TRUE,TRUE,TRUE,"BirdLife International","Westrip, J.R.S.",NA,"312000000",NA,NA,NA,NA,NA,NA,TRUE,"Map for UAE Range updated, updated EOO."
