"species","code","title","timing","scope","severity","score","invasive"
"Gavia stellata","11.1","Habitat shifting & alteration","Future","Majority (50-90%)","Negligible declines","Low Impact: 3",NA
"Gavia stellata","3.3","Renewable energy","Ongoing","Minority (<50%)","Unknown","Unknown",NA
"Gavia stellata","4.3","Shipping lanes","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Gavia stellata","5.4","Fishing & harvesting aquatic resources","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Gavia stellata","5.4.4","Unintentional effects: (large scale) [harvest]","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Gavia stellata","9.2","Industrial & military effluents","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Gavia stellata","9.2.1","Oil spills","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Gavia arctica","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown","Unknown",NA
"Gavia arctica","4.3","Shipping lanes","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Gavia arctica","5.4","Fishing & harvesting aquatic resources","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Gavia arctica","5.4.4","Unintentional effects: (large scale) [harvest]","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Gavia arctica","9.2","Industrial & military effluents","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Gavia arctica","9.2.1","Oil spills","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Podiceps cristatus","8.1","Invasive non-native/alien species/diseases (Oncorhynchus mykiss)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Oncorhynchus mykiss"
"Podiceps cristatus","8.1.2","Named species (Oncorhynchus mykiss)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Oncorhynchus mykiss"
"Podiceps nigricollis","11.5","Other impacts","Past, Likely to Return","Minority (<50%)","Negligible declines","Past Impact",NA
"Fulmarus glacialis","5.4","Fishing & harvesting aquatic resources","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Fulmarus glacialis","5.4.4","Unintentional effects: (large scale) [harvest]","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Fulmarus glacialis","8.1","Invasive non-native/alien species/diseases","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Fulmarus glacialis","8.1","Invasive non-native/alien species/diseases (Felis catus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Felis catus"
"Fulmarus glacialis","8.1","Invasive non-native/alien species/diseases (Vulpes vulpes)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Vulpes vulpes"
"Fulmarus glacialis","8.1.1","Unspecified species","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Fulmarus glacialis","8.1.2","Named species (Felis catus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Felis catus"
"Fulmarus glacialis","8.1.2","Named species (Vulpes vulpes)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Vulpes vulpes"
"Fulmarus glacialis","9.2","Industrial & military effluents","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Fulmarus glacialis","9.2.1","Oil spills","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Fulmarus glacialis","9.4","Garbage & solid waste","Ongoing","Majority (50-90%)","Unknown","Unknown",NA
"Puffinus puffinus","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Puffinus puffinus","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Puffinus puffinus","8.1","Invasive non-native/alien species/diseases (Felis catus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Felis catus"
"Puffinus puffinus","8.1","Invasive non-native/alien species/diseases (Sus domesticus)","Past, Unlikely to Return","Minority (<50%)","Rapid Declines","Past Impact","Sus domesticus"
"Puffinus puffinus","8.1","Invasive non-native/alien species/diseases (Unspecified Rattus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Unspecified Rattus"
"Puffinus puffinus","8.1.2","Named species (Felis catus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Felis catus"
"Puffinus puffinus","8.1.2","Named species (Sus domesticus)","Past, Unlikely to Return","Minority (<50%)","Rapid Declines","Past Impact","Sus domesticus"
"Puffinus puffinus","8.1.2","Named species (Unspecified Rattus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Unspecified Rattus"
"Puffinus puffinus","9.6","Excess energy","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Puffinus puffinus","9.6.1","Light pollution","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Hydrobates pelagicus","8.1","Invasive non-native/alien species/diseases (Felis catus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Felis catus"
"Hydrobates pelagicus","8.1.2","Named species (Felis catus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Felis catus"
"Hydrobates pelagicus","8.2","Problematic native species/diseases","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Hydrobates pelagicus","8.2.1","Unspecified species","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Morus bassanus","3.3","Renewable energy","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Morus bassanus","5.4","Fishing & harvesting aquatic resources","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"Morus bassanus","5.4.4","Unintentional effects: (large scale) [harvest]","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"Morus bassanus","9.4","Garbage & solid waste","Future","Majority (50-90%)","Unknown","Unknown",NA
"Phalacrocorax carbo","5.4","Fishing & harvesting aquatic resources","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Phalacrocorax carbo","5.4.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Ardea cinerea","2.1","Annual & perennial non-timber crops","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Ardea cinerea","2.1.4","Scale Unknown/Unrecorded","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Ardea cinerea","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Ardea cinerea","5.1","Hunting & trapping terrestrial animals","Past, Likely to Return","Minority (<50%)","Slow, Significant Declines","Past Impact",NA
"Ardea cinerea","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Ardea cinerea","5.1.3","Persecution/control","Past, Likely to Return","Minority (<50%)","Slow, Significant Declines","Past Impact",NA
"Ardea cinerea","5.3","Logging & wood harvesting","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Ardea cinerea","5.3.4","Unintentional effects: (large scale) [harvest]","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Ardea cinerea","8.1","Invasive non-native/alien species/diseases","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Ardea cinerea","8.1","Invasive non-native/alien species/diseases (Clostridium botulinum)","Future","Minority (<50%)","Rapid Declines","Low Impact: 4","Clostridium botulinum"
"Ardea cinerea","8.1.1","Unspecified species","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Ardea cinerea","8.1.2","Named species (Clostridium botulinum)","Future","Minority (<50%)","Rapid Declines","Low Impact: 4","Clostridium botulinum"
"Ardea cinerea","8.5","Viral/prion-induced diseases","Future","Minority (<50%)","Rapid Declines","Low Impact: 4",NA
"Ardea cinerea","8.5.2","Named species","Future","Minority (<50%)","Rapid Declines","Low Impact: 4",NA
"Ardea cinerea","9.3","Agricultural & forestry effluents","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Ardea cinerea","9.3.2","Soil erosion, sedimentation","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Cygnus cygnus","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA
"Anser brachyrhynchus","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA
"Anser caerulescens","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA
"Branta canadensis","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA
"Branta leucopsis","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA
"Branta ruficollis","11.1","Habitat shifting & alteration","Future","Majority (50-90%)","Rapid Declines","Low Impact: 5",NA
"Branta ruficollis","3.1","Oil & gas drilling","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"Branta ruficollis","3.3","Renewable energy","Future","Majority (50-90%)","Slow, Significant Declines","Low Impact: 4",NA
"Branta ruficollis","5.1","Hunting & trapping terrestrial animals","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"Branta ruficollis","5.1.2","Unintentional effects (species is not the target)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"Branta ruficollis","5.4","Fishing & harvesting aquatic resources","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Branta ruficollis","5.4.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Branta ruficollis","6.1","Recreational activities","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Branta ruficollis","6.3","Work & other activities","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"Tadorna ferruginea","1.1","Housing & urban areas","Past, Likely to Return","Minority (<50%)","Slow, Significant Declines","Past Impact",NA
"Tadorna ferruginea","2.3","Livestock farming & ranching","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Tadorna ferruginea","2.3.4","Scale Unknown/Unrecorded","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Tadorna ferruginea","3.2","Mining & quarrying","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Tadorna ferruginea","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Tadorna ferruginea","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Tadorna ferruginea","7.2","Dams & water management/use","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Tadorna ferruginea","7.2.4","Abstraction of surface water (unknown use)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Tadorna ferruginea","7.2.7","Abstraction of ground water (agricultural use)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Tadorna ferruginea","8.1","Invasive non-native/alien species/diseases","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Tadorna ferruginea","8.1","Invasive non-native/alien species/diseases (Tadorna cana)","Ongoing","Minority (<50%)","No decline","Low Impact: 4","Tadorna cana"
"Tadorna ferruginea","8.1.1","Unspecified species","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Tadorna ferruginea","8.1.2","Named species (Tadorna cana)","Ongoing","Minority (<50%)","No decline","Low Impact: 4","Tadorna cana"
"Tadorna ferruginea","8.5","Viral/prion-induced diseases","Past, Likely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact",NA
"Tadorna ferruginea","8.5.2","Named species","Past, Likely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact",NA
"Tadorna ferruginea","9.1","Domestic & urban waste water","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Tadorna ferruginea","9.1.3","Type Unknown/Unrecorded","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Mareca penelope","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown","Unknown",NA
"Mareca penelope","6.1","Recreational activities","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Mareca penelope","7.2","Dams & water management/use","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Mareca penelope","7.2.7","Abstraction of ground water (agricultural use)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Mareca penelope","7.3","Other ecosystem modifications","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Mareca penelope","8.5","Viral/prion-induced diseases","Past, Likely to Return","Minority (<50%)","Rapid Declines","Past Impact",NA
"Mareca penelope","8.5.2","Named species","Past, Likely to Return","Minority (<50%)","Rapid Declines","Past Impact",NA
"Mareca penelope","9.2","Industrial & military effluents","Ongoing","Minority (<50%)","Rapid Declines","Medium Impact: 6",NA
"Mareca penelope","9.2.1","Oil spills","Ongoing","Minority (<50%)","Rapid Declines","Medium Impact: 6",NA
"Mareca penelope","9.2.3","Type Unknown/Unrecorded","Ongoing","Minority (<50%)","Rapid Declines","Medium Impact: 6",NA
"Spatula querquedula","11.2","Droughts","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Spatula querquedula","5.1","Hunting & trapping terrestrial animals","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"Spatula querquedula","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Spatula querquedula","5.1.1","Intentional use (species is the target)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"Spatula querquedula","5.1.2","Unintentional effects (species is not the target)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Spatula querquedula","6.3","Work & other activities","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Spatula querquedula","7.2","Dams & water management/use","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Spatula querquedula","7.2.10","Large dams","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Spatula querquedula","7.2.4","Abstraction of surface water (unknown use)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Spatula querquedula","7.3","Other ecosystem modifications","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Spatula querquedula","8.1","Invasive non-native/alien species/diseases (Clostridium botulinum)","Past, Likely to Return","Minority (<50%)","Negligible declines","Past Impact","Clostridium botulinum"
"Spatula querquedula","8.1","Invasive non-native/alien species/diseases (Neovison vison)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Neovison vison"
"Spatula querquedula","8.1.2","Named species (Clostridium botulinum)","Past, Likely to Return","Minority (<50%)","Negligible declines","Past Impact","Clostridium botulinum"
"Spatula querquedula","8.1.2","Named species (Neovison vison)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Neovison vison"
"Spatula querquedula","8.5","Viral/prion-induced diseases","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Spatula querquedula","8.5","Viral/prion-induced diseases","Past, Likely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact",NA
"Spatula querquedula","8.5.2","Named species","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Spatula querquedula","8.5.2","Named species","Past, Likely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact",NA
"Spatula clypeata","4.2","Utility & service lines","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Spatula clypeata","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Spatula clypeata","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Spatula clypeata","8.1","Invasive non-native/alien species/diseases (Neovison vison)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Neovison vison"
"Spatula clypeata","8.1.2","Named species (Neovison vison)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Neovison vison"
"Spatula clypeata","8.5","Viral/prion-induced diseases","Future","Minority (<50%)","Slow, Significant Declines","Low Impact: 3",NA
"Spatula clypeata","8.5.2","Named species","Future","Minority (<50%)","Slow, Significant Declines","Low Impact: 3",NA
"Spatula clypeata","9.3","Agricultural & forestry effluents","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Spatula clypeata","9.3.1","Nutrient loads","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Aythya ferina","1.1","Housing & urban areas","Ongoing","Minority (<50%)","No decline","Low Impact: 4",NA
"Aythya ferina","11.1","Habitat shifting & alteration","Ongoing","Unknown","Unknown","Unknown",NA
